"","ScerERG11","CalbERG11","CaurERG11","NglaERG11","CparERG11","CtroERG11","AfumCYP51A","AfumCYP51B"
"ScerERG11",100,65.4,66.5,83.4,65.6,65.8,48.9,48.6
"CalbERG11",65.4,100,71.1,64.5,74.7,83,47.8,47.9
"CaurERG11",66.5,71.1,100,65.2,71.8,71.1,49.7,49.3
"NglaERG11",83.4,64.5,65.2,100,66,64.3,47.5,49.2
"CparERG11",65.6,74.7,71.8,66,100,75.5,49.1,48.1
"CtroERG11",65.8,83,71.1,64.3,75.5,100,48.8,49
"AfumCYP51A",48.9,47.8,49.7,47.5,49.1,48.8,100,63.4
"AfumCYP51B",48.6,47.9,49.3,49.2,48.1,49,63.4,100
