"","CalbERG3","CaurERG3","CparERG3","CtroERG3","NglaERG3","ScerERG3"
"CalbERG3",100,70.9,72.5,81.1,59.5,59.2
"CaurERG3",70.9,100,68,70.1,62.2,59.9
"CparERG3",72.5,68,100,69.1,54.9,54.9
"CtroERG3",81.1,70.1,69.1,100,59.4,59.9
"NglaERG3",59.5,62.2,54.9,59.4,100,71.3
"ScerERG3",59.2,59.9,54.9,59.9,71.3,100
