"","ScerERG6","CalbERG6","CaurERG6","NglaERG6","CparERG6","CtroERG6"
"ScerERG6",100,64.5,65.4,81.5,66.7,64
"CalbERG6",64.5,100,86.1,64.2,90.2,88.3
"CaurERG6",65.4,86.1,100,64.9,84.8,85.3
"NglaERG6",81.5,64.2,64.9,100,67.1,63.3
"CparERG6",66.7,90.2,84.8,67.1,100,85.6
"CtroERG6",64,88.3,85.3,63.3,85.6,100
