"","ortholog1","ortholog2","percent_id"
"1","CalbERG3","CalbERG3",100
"2","CalbERG3","CaurERG3",70.9
"3","CalbERG3","CparERG3",72.5
"4","CalbERG3","CtroERG3",81.1
"5","CalbERG3","NglaERG3",59.5
"6","CalbERG3","ScerERG3",59.2
"7","CaurERG3","CalbERG3",70.9
"8","CaurERG3","CaurERG3",100
"9","CaurERG3","CparERG3",68
"10","CaurERG3","CtroERG3",70.1
"11","CaurERG3","NglaERG3",62.2
"12","CaurERG3","ScerERG3",59.9
"13","CparERG3","CalbERG3",72.5
"14","CparERG3","CaurERG3",68
"15","CparERG3","CparERG3",100
"16","CparERG3","CtroERG3",69.1
"17","CparERG3","NglaERG3",54.9
"18","CparERG3","ScerERG3",54.9
"19","CtroERG3","CalbERG3",81.1
"20","CtroERG3","CaurERG3",70.1
"21","CtroERG3","CparERG3",69.1
"22","CtroERG3","CtroERG3",100
"23","CtroERG3","NglaERG3",59.4
"24","CtroERG3","ScerERG3",59.9
"25","NglaERG3","CalbERG3",59.5
"26","NglaERG3","CaurERG3",62.2
"27","NglaERG3","CparERG3",54.9
"28","NglaERG3","CtroERG3",59.4
"29","NglaERG3","NglaERG3",100
"30","NglaERG3","ScerERG3",71.3
"31","ScerERG3","CalbERG3",59.2
"32","ScerERG3","CaurERG3",59.9
"33","ScerERG3","CparERG3",54.9
"34","ScerERG3","CtroERG3",59.9
"35","ScerERG3","NglaERG3",71.3
"36","ScerERG3","ScerERG3",100
